id,start_strength,end_strength,traversal_time_ns,start_point,interaction_type_1,point_1,interaction_type_2,point_2,interaction_type_3,point_3,interaction_type_4,point_4,interaction_type_5,point_5,interaction_type_6,point_6,interaction_type_7,point_7,interaction_type_8,point_8,interaction_type_9,point_9,interaction_type_10,point_10,interaction_type_11,point_11,interaction_type_12,point_12,interaction_type_13,point_13,interaction_type_14,point_14,interaction_type_15,point_15,interaction_type_16,point_16,interaction_type_17,point_17,interaction_type_18,point_18,interaction_type_19,point_19,interaction_type_20,point_20,interaction_type_21,point_21,interaction_type_22,point_22,interaction_type_23,point_23,interaction_type_24,point_24,interaction_type_25,point_25,interaction_type_26,point_26,interaction_type_27,point_27,interaction_type_28,point_28,interaction_type_29,point_29,interaction_type_30,point_30,interaction_type_31,point_31,interaction_type_32,point_32,interaction_type_33,point_33,interaction_type_34,point_34,interaction_type_35,point_35,interaction_type_36,point_36,interaction_type_37,point_37,interaction_type_38,point_38,interaction_type_39,point_39,interaction_type_40,point_40,interaction_type_41,point_41,end_point
1,50,0.10455844706056183,166.43327816118523,(0)(0)(0),2,(0.9999928728915121)(0.2530862040290315)(0.9511218170878518),2,(0.9485953451065714)(0.2660941165237952)(0.999993221299937),2,(-0.9999928728915121)(0.7592550045671397)(-0.8533518938634292),2,(-0.8458002895366901)(0.7982787420514309)(-0.999993221299937),2,(-0.04874183198618709)(0.9999981962400227)(-0.24189893584947858),2,(0.9999928728915121)(0.7345761948947521)(0.7555819706390068),2,(0.7430052339668088)(0.6695366324209334)(0.999993221299937),2,(-0.999992872891512)(0.22840739435664387)(-0.6578120474145841),2,(-0.6402101783969273)(0.13735200689329757)(-0.999993221299937),2,(0.9999928728915117)(-0.2777614061814644)(0.5600421241901612),2,(0.5374151228270453)(-0.39483261863433833)(0.999993221299937),2,(-0.999992872891512)(-0.7839302067195726)(-0.46227220096573834),2,(-0.43462006725716396)(-0.9270172441619741)(-0.999993221299937),2,(-0.14623975017553692)(-0.9999981962400227)(-0.7257103649485626),2,(0.999992872891512)(-0.7099009927423193)(0.36450227774131566),2,(0.3318250116872825)(-0.5407981303103904)(0.999993221299937),2,(-0.9999928728915121)(-0.20373219220421107)(-0.2667323545168932),2,(-0.2290299561174014)(-0.008613504782754553)(-0.999993221299937),2,(0.9999928728915121)(0.30243660833389724)(0.16896243129247074),2,(0.12623490054752018)(0.5235711207448812)(0.999993221299937),2,(-0.9999928728915121)(0.8086054088720055)(-0.07119250806804849),2,(-0.24373766836488697)(0.9999981962400227)(-0.7904782059523545),2,(-0.023439844977639096)(0.9442442537274831)(-0.999993221299937),2,(0.9999928728915121)(0.6852257905898863)(-0.02657741515637386),2,(-0.07935521059224193)(0.4120596281998474)(0.9999932212999368),2,(-0.9999928728915121)(0.17905699005177797)(0.1243473383807961),2,(0.18215026616212282)(-0.12012499732778834)(-0.9999932212999368),2,(0.9999928728915121)(-0.32711181048633037)(-0.22211726160521833),2,(-0.28494532173200393)(-0.652309622855424)(0.999993221299937),2,(-0.9999928728915121)(-0.8332806110244385)(0.3198871848296408),2,(-0.34123558655423714)(-0.9999981962400227)(-0.30666677685327204),2,(0.38774037730188515)(-0.8155057516169404)(-0.999993221299937),2,(0.9999928728915121)(-0.6605505884374533)(-0.41765710805406325),2,(-0.4905354328717664)(-0.28332112608930454)(0.999993221299937),2,(-0.9999928728915121)(-0.15438178789934492)(0.5154270312784858),2,(0.5933304884416477)(0.24886349943833136)(-0.999993221299937),2,(0.9999928728915121)(0.35178701263876344)(-0.6131969545029083),2,(-0.6961255440115288)(0.7810481249659671)(0.999993221299937),2,(-0.9999928728915121)(0.8579558131768718)(0.7109668777273307),2,(-0.4387335047435883)(0.9999981962400227)(0.17714465224581205),2,,
1,50,0.11615235035564808,166.3946050625608,(0)(0)(0),2,(-0.1610737215873979)(0.9999913800401006)(0.5655873600208662),2,(-0.28479156051843624)(0.23190268031561234)(0.999995124701662),2,(-0.48321838788808846)(-0.9999913800401007)(0.30324767053407753),2,(-0.8053630541887791)(0.9999913800401007)(-0.8279172989109789),2,(-0.8543719046812034)(0.6957252808666362)(-0.999995124701662),2,(-0.9999986115629473)(-0.20839947418933225)(-0.48863799923796014),2,(-0.8724922795105303)(-0.9999913800401007)(-0.040917731643964755),2,(-0.5760477511560296)(0.8404521185823399)(0.999995124701662),2,(-0.5503476132098398)(0.9999913800401007)(0.9097527621989084),2,(-0.22820294690914925)(-0.9999913800401007)(-0.221412207246148),2,(-0.006467406993262527)(0.37662951803131595)(-0.999995124701662),2,(0.0939417193915413)(0.9999913800401007)(-0.6474228233087956),2,(0.4160863856922319)(-0.9999913800401007)(0.48374214613626076),2,(0.5631129371695046)(-0.08719308251970803)(0.999995124701662),2,(0.7382310519929225)(0.9999913800401007)(0.3850928844186827),2,(0.9999986115629473)(-0.6251811826481988)(-0.5340762516894443),2,(0.9396242817063869)(-0.9999913800401007)(-0.7460720850263735),2,(0.8673067186677282)(-0.5510156830707317)(-0.999995124701662),2,(0.6174796154056964)(0.9999913800401006)(-0.12276294552857023),2,(0.2977263745049612)(-0.9851617163782443)(0.9999951247016619),2,(0.2953349491050058)(-0.9999913800401007)(0.9915979760835136),2,(-0.026809717195684795)(0.9999913800401007)(-0.1395669933615428),2,(-0.2718539696578059)(-0.5213391158272203)(-0.999995124701662),2,(-0.34895438349637536)(-0.9999913800401007)(-0.7292680371934009),2,(-0.6710990497970659)(0.9999913800401007)(0.40189693225165546),2,(-0.841434313820573)(-0.0575165152761965)(0.999995124701662),2,(-0.9932437160977565)(-0.9999913800401007)(0.46693809830328825),2,(-0.9999986115629473)(-0.9580371088929355)(0.44320949738315185),2,(-0.6846116176015529)(0.9999913800401007)(-0.6642268711417683),2,(-0.5889853420166599)(0.40630608527482737)(-0.999995124701662),2,(-0.3624669513008623)(-0.9999913800401007)(-0.20460815941317542),2,(-0.04032228500017173)(0.9999913800401007)(0.926556810031881),2,(-0.019404997853892717)(0.8701286858258511)(0.999995124701662),2,(0.28182238130051884)(-0.9999913800401007)(-0.05772177947693738),2,(0.5501753463088743)(0.6660487136231248)(-0.999995124701662),2,(0.6039670476012093)(0.9999913800401007)(-0.8111132510780062),2,(0.9261117139019)(-0.9999913800401007)(0.32005171836705015),2,,2,(-0.28466911034685016)(0.4006270552215745)(-1.0000048752983381),2,,2,,
1,50,2.7197880184590133,157.70981130399545,(0)(0)(0),2,(0.9999926255565903)(-0.7700472216697823)(-0.49585212560406255),2,(0.7013613906110525)(-0.9999943213722178)(-0.6439279662466665),2,(-0.016752534555750605)(-0.4470167663568253)(-0.9999963433935256),2,(-0.9999926255565903)(0.3101303077537825)(-0.5124509364007612),2,(-0.10409892071997721)(0.9999943213722178)(-0.0682234144729495),2,(0.9999926255565903)(0.14978660616221726)(0.47924600159441505),2,(-0.050242854780432285)(-0.6589383436739599)(0.9999963433935256),2,(-0.49316354917109795)(-0.9999943213722178)(0.7803747951925654),2,(-0.9999926255565903)(-0.6097035200782169)(0.5290570604104085),2,(0.9999926255565903)(0.9303795660057833)(-0.46263987758476777),2,(0.9095739809378267)(0.9999943213722178)(-0.5074738240878187),2,(-0.08373317500511397)(0.23510654629525504)(-0.9999963433935256),2,(-0.9999926255565903)(-0.47046265208978355)(-0.545663184420056),2,(-0.3123115110467514)(-0.9999943213722178)(-0.20467755663179732),2,(0.9999926255565903)(0.010545738173783702)(0.4460337535751202),2,(-0.1172234952297961)(0.8708485637355302)(0.9999963433935256),2,(-0.28495095884432403)(0.9999943213722178)(0.9168289373514132),2,(-0.9999926255565903)(0.4493711757422161)(0.5622693084297036),2,(0.8822134287353991)(-0.9999943213722176)(-0.3710196819289706),2,(0.9999926255565903)(-0.9092880896582155)(-0.42942762956547265),2,(-0.1507138154544782)(-0.02319632623368404)(-0.9999963433935256),2,(-0.9999926255565903)(0.6307949964257846)(-0.5788754324393511),2,(-0.5205241013735257)(0.9999943213722178)(-0.34113169879064553),2,(0.9999926255565902)(-0.17087808250978467)(0.412821505555825),2,(-0.07673836851755007)(-0.9999943213722178)(0.9467169204897385),2,(-0.18420413567916055)(-0.917241216202899)(0.9999963433935256),2,(-0.9999926255565903)(-0.28903883140621534)(0.5954815564489989),2,(0.6740008384086253)(0.9999943213722178)(-0.2345655397701225),2,(0.9999926255565903)(0.7489557453222151)(-0.39621538154617736),2,(-0.21769445590384268)(-0.18871389382788653)(-0.9999963433935256),2,(-0.9999926255565901)(-0.7911273407617851)(-0.6120876804586465),2,(-0.728736691700299)(-0.9999943213722178)(-0.4775858409494935),2,(0.9999926255565902)(0.33121042684578517)(0.37960925753652963),2,(0.13147422180922358)(0.9999943213722178)(0.8102627783308904),2,(-0.2511847761285252)(0.7053309961413282)(0.9999963433935256),2,(-0.9999926255565903)(0.12870648707021468)(0.6286938044682943),2,(0.46578824808185154)(-0.9999943213722177)(-0.0981113976112743),2,(0.9999926255565903)(-0.5886234009862142)(-0.36300313352688196),2,(0.13989836157241048)(0.3836590618579785)(-0.9999963433935256),2,(-0.6605086065178638)(0.9999943213722178)(-0.6031157736909617),2,,
1,50,4.901361381082651,150.43286585587603,(0)(0)(0),2,(-0.9999933835039577)(0.9417362294415894)(0.6303976488791906),2,(-0.9381178973192489)(0.9999937690471921)(0.6694035518108855),2,(-0.41368255529259873)(0.5061172751929712)(0.9999958290040485),2,(0.9999933835039577)(-0.8251962264191524)(0.10881539535433127),2,(0.8143669249498311)(-0.9999937690471921)(-0.008202313440753574),2,(-0.7589391011301193)(0.48163571251547044)(-0.9999958290040485),2,(-0.9999933835039577)(0.7086562233967154)(-0.8480284395878531),2,(-0.6906159525804134)(0.9999937690471921)(-0.6529989249293784),2,(0.9999933835039577)(-0.5921162203742785)(0.41275851617862513),2,(0.5668649802109957)(-0.9999937690471921)(0.6857998367004896),2,(0.06843924244716285)(-0.5306112997760879)(0.9999958290040485),2,(-0.9999933835039577)(0.47557621735184163)(0.3264545280548966),2,(-0.4431140078415781)(0.9999937690471921)(-0.024598598330357657),2,(0.9999933835039577)(-0.3590362143294046)(-0.9343324277115816),2,(0.8958175860244453)(-0.4571416879323535)(-0.9999958290040485),2,(0.31936303547216044)(-0.9999937690471921)(-0.6366026400397742),2,(-0.9999933835039577)(0.2424962113069675)(0.1951193834780598),2,(-0.19561206310274268)(0.999993769047192)(0.7021961215900938),2,(0.2768040703982729)(0.5551053243592046)(0.9999958290040485),2,(0.9999933835039577)(-0.12595620828453077)(0.5440936607554621),2,(0.07186109073332522)(-0.9999937690471921)(-0.0409948832199617),2,(-0.9999933835039577)(0.009416205262093842)(-0.7166932950110162),2,(-0.5505742731790094)(0.432647663349237)(-0.9999958290040485),2,(0.05188988163609246)(0.9999937690471921)(-0.6202063551501702),2,(0.9999933835039576)(0.1071237977603431)(-0.022519749222505547),2,(-0.17564085400551047)(-0.9999937690471921)(0.7185924064796979),2,(-0.6220473832437087)(-0.5795993489423215)(0.9999958290040485),2,(-0.9999933835039577)(-0.22366380078278028)(0.7617327934560275),2,(0.29939182637492806)(0.9999937690471921)(-0.057391168109565904),2,(0.9999933835039577)(0.3402038038052171)(-0.49905416231045074),2,(0.20533096033357354)(-0.4081536387661203)(-0.9999958290040485),2,(-0.4231427987443456)(-0.9999937690471921)(-0.6038100702605662),2,(-0.9999933835039577)(-0.45674380682765403)(-0.24015888192307117),2,(0.5468937711137631)(0.999993769047192)(0.7349886913693018),2,(0.9672906960891444)(0.6040933735254377)(0.9999958290040485),2,(0.9999933835039577)(0.5732838098500906)(0.9793719261565929),2,(-0.6706447434831806)(-0.999993769047192)(-0.07378745299916967),2,(-0.9999933835039577)(-0.6898238128725274)(-0.2814150296098853),2,(-1.0000066164960424)(-0.9411695101023024)(0.9624998887652012),2,,2,,
1,50,5.431061381035327,148.66597684376927,(0)(0)(0),2,(0.7941353780444725)(-0.8652216902707478)(0.9999935169298698),2,(0.917845497267901)(-0.9999943907434691)(0.8442128721367358),2,(0.9999948515980287)(-0.910480292528474)(0.7407542099837328),2,(-0.3823958373294751)(0.5956538522991814)(-0.9999935169298698),2,(-0.7535261949997604)(0.9999943907434691)(-0.5326515825504677),2,(-0.9999948515980287)(0.7314520960984835)(-0.2222755960914585),2,(-0.029343703385522335)(-0.32608601432761497)(0.9999935169298697),2,(0.58920689273162)(-0.9999943907434691)(0.2210902929641995),2,(0.9999948515980287)(-0.5524238996684933)(-0.29620301780081565),2,(0.44108324410051986)(0.056518176356048416)(-0.9999935169298698),2,(-0.42488759046347935)(0.999994390743469)(0.09047099662206845),2,(-0.9999948515980287)(0.3733957032385027)(0.8146816316930899),2,(-0.8528227848155173)(0.21304966161551775)(0.9999935169298698),2,(0.2605682881953388)(-0.9999943907434691)(-0.4020322862083365),2,(0.7354376744694853)(-0.4826174995870842)(-0.9999935169298698),2,(0.9999948515980287)(-0.19436750680851253)(-0.6668397544146359),2,(-0.09624898592719816)(0.999994390743469)(0.7135935757946046),2,(-0.3236981337544877)(0.7521853375586505)(0.9999935169298698),2,(-0.9999948515980287)(0.015339310378521851)(0.14836114052236174),2,(-0.08804140696050972)(-0.9782468244697833)(-0.9999935169298698),2,(-0.06807031634094256)(-0.9999943907434691)(-0.9748451346191276),2,(0.9999948515980287)(0.16368888605146872)(0.37011747336991246),2,(0.499780947675507)(0.7086789864982171)(0.9999935169298698),2,(0.2323896186090832)(0.9999943907434691)(0.6632838450328598),2,(-0.9999948515980287)(-0.34271708248145916)(-0.8885960872621866),2,(-0.9115204883905045)(-0.4391111485266508)(-0.9999935169298698),2,(-0.3967089208772238)(-0.9999943907434691)(-0.35172255544659176),2,(0.676739970894498)(0.16954331055508456)(0.99999351692987),2,(0.9999948515980287)(0.5217452789114496)(0.5929252988455395),2,(0.5610282231453644)(0.9999943907434691)(0.04016126586032412),2,(-0.26500043017950087)(0.10002452741648157)(-0.9999935169298698),2,(-0.9999948515980287)(-0.70077347534144)(-0.07444668495326537),2,(-0.725347525413505)(-0.9999943907434691)(0.2714000237259439),2,(-0.14673911053549665)(-0.36959236538804796)(0.9999935169298698),2,(0.9999948515980287)(0.8798016717714304)(-0.44403192893900884),2,(0.8896668276816456)(0.9999943907434691)(-0.5829613133122119),2,(0.558478651250494)(0.6391602033596143)(-0.9999935169298698),2,(-0.946013870050214)(-0.9999943907434691)(0.8945226028984801),2,,2,,2,,
